EMPLOYEE_ID,RACE,GENDER,GENDER_NUM,DEPARTMENT_NAME,TITLE,REGULAR_PAY,PAY_NUM,LOG_PAY
22,Black,Female,0,HPEC: Com Acd Science & Health,Teacher,"$118,109.89 ",118109.89,5.072286265
23,White,Male,1,Brighton Police Department,Cadet (Police),"$15,599.70 ",15599.7,4.193116246
24,Black,NA,1,Age Strong,Driver,"$43,988.35 ",43988.35,4.643337672
25,White,Male,1,BPS Cl#10 Lee Academy,Teacher,"$115,901.22 ",115901.22,5.064088007
26,Asian,Male,1,ASD Human Resources,Student Intern,"$3,228.75 ",3228.75,3.509034419
27,Black,NA,1,Higginson/Lewis K-8,Teacher,"$83,446.96 ",83446.96,4.92141052
28,NA,NA,1,BPS Madison Park High,Teacher,"$89,562.16 ",89562.16,4.952124559
29,White,Female,0,BPS Brighton Arts Academy,Nurse,"$117,140.24 ",117140.24,5.068706109
30,White,Female,0,"Kennedy, EM Health Academy",Teacher,"$92,121.18 ",92121.18,4.964359492
31,White,Male,1,BPS Brighton High,Community Field Coordinator,"$68,460.32 ",68460.32,4.835438925
32,White,Female,0,Teaching & Learning,Program Director (Basas 9A),"$125,075.49 ",125075.49,5.097172213
33,White,Male,1,Brighton Police Department,Police Officer,"$79,021.12 ",79021.12,4.897743181
34,NA,Male,1,Margarita Muniz Academy,Manager (C) (non-ac),"$113,344.15 ",113344.15,5.05439911
35,White,Female,0,BPS Irving Middle,Paraprofessional,"$45,911.27 ",45911.27,4.661919306
36,White,Female,0,BPS Dever Elementary,Teacher,"$20,248.85 ",20248.85,4.306400363
37,White,Female,0,BPS Latin Academy,Teacher,"$106,331.52 ",106331.52,5.026662022
38,Hispanic,Female,0,BPS Mendell Elementary,Teacher,"$75,974.04 ",75974.04,4.880665221
39,Hispanic,Male,1,Brighton Police Department,Jr  Building Custodian,"$38,733.42 ",38733.42,4.588085845
40,Hispanic,Male,1,Brighton Police Department,Police Sergeant,"$119,678.12 ",119678.12,5.078014758
41,Hispanic,Male,1,Brighton Police Department,Police Officer,"$84,380.75 ",84380.75,4.926243381
42,Hispanic,Female,0,Edison K-8,Paraprofessional,"$34,696.29 ",34696.29,4.540283039
43,Hispanic,Female,0,BPS Transportation,Cab Monitor,"$6,540.41 ",6540.41,3.815604974
44,Hispanic,Male,1,Brighton Police Department,Police Officer,"$97,337.78 ",97337.78,4.988281437
45,NA,Female,0,BPS East Brighton High,Student Dev Counselor (1),"$84,076.37 ",84076.37,4.924673953
46,Black,Male,1,Brighton Fire Department,Fire Fighter,"$122,741.61 ",122741.61,5.088991816
47,NA,NA,1,BPS New Mission Pilot,Teacher,"$45,870.12 ",45870.12,4.661529876
48,NA,NA,1,Brighton Public Library,Manager of Youth Services,"$115,860.86 ",115860.86,5.063936748
49,White,Female,0,Transportation-Parking Clerk,Chief Claims Investigator I,"$83,638.26 ",83638.26,4.922404989
50,NA,Female,0,BPS Facility Management,Sen Cust C/Nights,"$57,769.18 ",57769.18,4.761696203
51,NA,Female,0,BPS Transportation,Cab Monitor,"$24,540.19 ",24540.19,4.389877921
52,White,Female,0,BPS Horace Mann,Teacher,"$118,991.42 ",118991.42,5.075515647
53,NA,Female,0,Mildred Avenue K-8,Community Field Coordinator,"$41,146.71 ",41146.71,4.614335116
54,White,Male,1,BPS Facility Management,Sen Cust C/Nights,"$64,623.93 ",64623.93,4.810393365
55,White,Male,1,Brighton Police Department,Police Officer,"$101,622.31 ",101622.31,5.006989063
56,Hispanic,Female,0,BPS Health and Wellness,Coordinator C,"$86,673.96 ",86673.96,4.937888639
57,Hispanic,Female,0,BPS Ellis Elementary,Paraprofessional,"$30,070.26 ",30070.26,4.478137183
58,Hispanic,Female,0,Brighton Police Department,School Traffic Supv,"$10,169.11 ",10169.11,4.007282945
59,Hispanic,Female,0,BTU Pilot,Teacher,"$118,448.06 ",118448.06,5.073527952
60,Hispanic,Female,0,Treasury-Treasury Division,Prin Admin Asst (Treas/Treas),"$87,712.30 ",87712.3,4.943060499
61,Hispanic,Male,1,Brighton Police Department,Police Officer,"$101,649.97 ",101649.97,5.007107255
62,White,Male,1,Brighton Fire Department,Fire Fighter,"$62,232.91 ",62232.91,4.794020109
63,NA,Female,0,BPS Counseling Service,School Psychologist(1),"$121,427.16 ",121427.16,5.084315838
64,NA,NA,1,English Language Learn,Sum Sch - BTU Prof,"$3,320.00 ",3320,3.521138084
65,White,NA,1,BPS Taylor Elementary,Teacher,"$108,046.98 ",108046.98,5.033612633
66,NA,Male,1,BPS Kenny Elementary,Paraprofessional,"$40,594.18 ",40594.18,4.608463773
67,Black,Male,1,BPS Special Education,SPED Coverage Paraprofessional,"$46,513.84 ",46513.84,4.667582195
68,NA,Female,0,Brighton Police Department,Police Detective,"$117,457.28 ",117457.28,5.06987994
69,NA,Male,1,King K-8,Teacher,"$106,020.85 ",106020.85,5.025391282
70,Hispanic,Female,0,Brighton Police Department,Police Clerk And Typist,"$39,343.01 ",39343.01,4.594867583
71,Hispanic,Female,0,BPS Dever Elementary,Teacher,"$83,888.01 ",83888.01,4.923699892
72,Hispanic,Female,0,BPS Madison Park High,Community Field Coordinator,"$58,774.68 ",58774.68,4.769190273
73,Hispanic,Male,1,Brighton Police Department,Police Officer,"$110,587.17 ",110587.17,5.043704744
74,Hispanic,Male,1,Property Management,Jr Building Custodian,"$6,936.30 ",6936.3,3.841127868
75,Hispanic,Female,0,BPS Special Education,Speech & Language Pathologist,"$49,982.52 ",49982.52,4.698818148
76,Hispanic,Male,1,BPS Athletics,Coach (NonTPP),"$1,121.00 ",1121,3.049605613
77,Black,Male,1,Dpt of Innovation & Technology,Sr Data Proc Sys Anl,"$108,170.66 ",108170.66,5.03410948
78,Hispanic,Female,0,BPS Burke High,Paraprofessional,$161.65 ,161.65,2.208575709
79,Hispanic,Female,0,HPEC: Com Acd Science & Health,Teacher,"$103,149.96 ",103149.96,5.013469064
80,White,Male,1,BPS Facility Management,Part-Time Custodian,"$14,568.37 ",14568.37,4.163410963
81,White,Male,1,BPS Transportation,Cab Monitor,"$20,615.05 ",20615.05,4.314184392
82,White,Male,1,BPS Facility Management,Part-Time Custodian,"$13,960.10 ",13960.1,4.144888529
83,White,Male,1,Brighton Police Department,Police Officer,"$91,259.61 ",91259.61,4.960278608
84,White,Male,1,Brighton Police Department,Police Officer,"$8,694.29 ",8694.29,3.939234122
85,White,Male,1,Brighton Police Department,Police Detective,"$108,803.25 ",108803.25,5.036641868
86,White,Male,1,BPS Alternative Education HS,Teacher,"$121,201.22 ",121201.22,5.083506991
87,White,Female,0,BPS Murphy Elementary,SpEd Support Svcs Coordinator,NA,NA,NA
88,White,Female,0,BPS Substitute Teachers/Nurs,Substitute Teacher,"$10,825.05 ",10825.05,4.034429911
89,White,NA,1,Young Achievers K-8,Teacher,"$124,280.26 ",124280.26,5.094402153
90,White,Male,1,Brighton Fire Department,Fire Fighter,"$118,266.43 ",118266.43,5.072861487
91,NA,Female,0,BPS Long Term Leave,BPS Bi-Weekly 26 Leave,NA,NA,NA
92,White,Female,0,UP Academy Dorchester,School Psychologist(1),"$84,408.72 ",84408.72,4.926387315
93,White,NA,1,BPS Ellis Elementary,Paraprofessional,"$28,149.90 ",28149.9,4.449476856
94,White,Female,0,BPS Special Education,ABA Specialist (BTU),"$47,449.43 ",47449.43,4.676231
95,White,Male,1,Brighton Fire Department,Fire Fighter,"$126,542.03 ",126542.03,5.102234797
96,White,Male,1,Accountability,Manager NonAcad C,"$39,677.70 ",39677.7,4.598546489
97,White,Female,0,BPS Holmes Elementary,Lunch Hour Monitors,"$9,292.41 ",9292.41,3.968128364
98,NA,Female,0,BPS Ohrenberger Elementary,Librarian,"$109,146.78 ",109146.78,5.038010928
99,White,NA,1,Transportation-Parking Clerk,Chief Claims Investigator,"$44,141.21 ",44141.21,4.644844234
100,White,Male,1,Brighton Police Department,School Traffic Supv,"$6,267.50 ",6267.5,3.797094343
101,White,Male,1,Brighton Cntr - Youth & Families,Athletic Assistant,"$36,295.93 ",36295.93,4.559857929
102,White,Female,0,UP Academy Dorchester,Teacher,"$58,284.38 ",58284.38,4.765552181
103,White,Female,0,UP Academy Holland,Paraprofessional,"$38,203.05 ",38203.05,4.582098037
104,White,Male,1,Brighton Fire Department,Fire Fighter-Technician,"$60,146.15 ",60146.15,4.779207833
105,White,Female,0,Mattahunt Elementary School,Teacher,"$83,893.36 ",83893.36,4.923727589
106,NA,Male,1,ASD Human Resources,Supvising Claims Agent (Asd),"$113,261.76 ",113261.76,5.054083306
107,NA,Female,0,BPS Special Education,Director C Non Acad,"$119,078.24 ",119078.24,5.075832407
108,NA,Male,1,Brighton Cntr - Youth & Families,Youth Worker,"$54,488.83 ",54488.83,4.736307483
109,NA,Female,0,BPS Mckay Elementary,Lunch Hour Monitors,"$9,292.41 ",9292.41,3.968128364
110,Black,Female,0,Neighborhood Development,HMIS Coordinator,"$42,322.55 ",42322.55,4.626571827
111,NA,Male,1,Property Management,Jr Building Custodian,"$50,633.95 ",50633.95,4.704441808
112,White,Male,1,Brighton Police Department,Police Offc Acad Instr 2$6,"$101,570.26 ",101570.26,5.006766564
113,Black,Female,0,BPS Tynan Elementary,Teacher,"$103,849.32 ",103849.32,5.016403657
114,NA,NA,1,Brighton Public Library,Children's Librarian I,"$17,105.40 ",17105.4,4.233133234
115,NA,Male,1,BPS Brighton Arts Academy,Teacher,"$83,600.28 ",83600.28,4.922207732
116,NA,NA,1,Treasury-Collecting Division,Dep Collector,"$42,341.55 ",42341.55,4.626766752
117,Black,Female,0,Young Achievers K-8,Teacher,"$94,522.21 ",94522.21,4.975533867
118,Black,Male,1,BPS Madison Park High,Teacher,"$88,810.62 ",88810.62,4.948464902
119,NA,NA,1,BPS Chittick Elementary,Specialist (BTU),"$115,982.12 ",115982.12,5.064391043
120,White,Male,1,Brighton Fire Department,Fire Fighter-Technician,"$122,293.86 ",122293.86,5.087404653
121,White,Female,0,BPS McKinley Middle,Paraprofessional,"$42,807.95 ",42807.95,4.631524431
122,NA,Male,1,Brighton Fire Department,Gen Main Mech Frprs(Cfm)##,"$95,616.95 ",95616.95,4.980534886
123,NA,Female,0,BPS Adult Education,Employment Agreement,"$2,559.90 ",2559.9,3.408223
124,NA,Female,0,Brighton Police Department,Police Officer,NA,NA,NA
125,Hispanic,Female,0,Neighborhood Development,Program Asst,"$71,214.84 ",71214.84,4.852570503
126,NA,Male,1,BPS Equity,Intern 3,"$18,870.00 ",18870,4.2757719
127,Black,Female,0,Eliot K-8,Teacher,"$106,366.26 ",106366.26,5.026803889
128,Black,Male,1,Frederick Pilot Middle,Teacher,"$93,869.29 ",93869.29,4.972523533
129,NA,Female,0,BPS Lee Elementary,Paraprofessional,"$36,617.18 ",36617.18,4.563684895
130,NA,Female,0,Fam & Student Engagemt,Hot Line Worker,"$14,435.62 ",14435.62,4.159435441
131,NA,Female,0,UP Academy Dorchester,Coordinator (C),"$71,384.62 ",71384.62,4.853604652
132,White,Male,1,Parks Department,Prin Admin Asst (P&R),"$87,958.76 ",87958.76,4.944279098
133,Black,Female,0,HPEC: Com Acd Science & Health,SpEd Support Svcs Coordinator,"$117,524.06 ",117524.06,5.070126786
134,NA,Male,1,Dudley St. Neighborhood School,Cafeteria Manager 10,"$5,975.51 ",5975.51,3.776374978
135,White,NA,1,HPEC: Com Acd Science & Health,Paraprofessional,"$1,628.47 ",1628.47,3.211779762
136,Black,Female,0,BPS Substitute Teachers/Nurs,Substitute Teacher HE,"$17,640.22 ",17640.22,4.246503997
137,White,Female,0,BPS Special Education,Sen Clerk School Sec 766-15B,"$36,439.28 ",36439.28,4.561569787
138,NA,Female,0,BPS Special Education,Teacher,NA,NA,NA
139,NA,Female,0,BPS Quincy Elementary,Teacher,"$108,046.98 ",108046.98,5.033612633
140,NA,Female,0,Brighton Police Department,Police Officer,"$32,232.34 ",32232.34,4.508291836
141,Hispanic,Male,1,Brighton Cntr - Youth & Families,Lifeguard I,"$35,957.56 ",35957.56,4.555790214
142,NA,Female,0,Quincy Upper School,Teacher,"$83,982.98 ",83982.98,4.924191281
143,NA,Female,0,BPS Human Resource Team,Teacher,"$9,493.42 ",9493.42,3.977422695
144,Hispanic,Female,0,Brighton Collaborative High Sch,Cluster Substitute,"$7,373.65 ",7373.65,3.867682519
145,Hispanic,Male,1,Assessing Department,Asst Assessor,"$67,070.34 ",67070.34,4.826530508
146,Hispanic,Female,0,BPS Blackstone Elementary,Teacher,"$105,025.24 ",105025.24,5.021293683
147,White,Female,0,BPS Beethoven Elementary,Paraprofessional,"$45,922.61 ",45922.61,4.662026563
148,White,Male,1,Brighton Cntr - Youth & Families,Building Asst,"$40,042.17 ",40042.17,4.602517605
149,White,Female,0,Jackson/Mann K-8,Teacher,"$111,388.54 ",111388.54,5.046840512
150,White,Male,1,Brighton Fire Department,Fire Fighter-Technician,"$96,008.52 ",96008.52,4.982309775
151,White,Male,1,UP Academy Holland,Teacher,NA,NA,NA
152,White,Female,0,Brighton Police Department,Head Clerk & Secretary,"$59,200.09 ",59200.09,4.772322367
153,White,Male,1,Brighton Fire Department,Fire Fighter,"$129,156.28 ",129156.28,5.111115528
154,White,Female,0,BPS Chittick Elementary,Teacher,"$110,722.05 ",110722.05,5.044234118
155,White,Male,1,Brighton Police Department,Police Sergeant,"$38,889.79 ",38889.79,4.589835598
156,White,Male,1,Brighton Fire Department,Fire Fighter-Technician,"$129,485.69 ",129485.69,5.112221775
157,White,Male,1,Brighton Cntr - Youth & Families,Admin Coordinator (Com Sch),"$108,610.66 ",108610.66,5.035872453
158,White,Female,0,BPS Perkins Elementary,Nurse,"$118,052.84 ",118052.84,5.072076439
159,White,NA,1,Law Department,Asst Corp Counsel II,"$89,334.49 ",89334.49,4.951019162
160,White,Male,1,Brighton Fire Department,Fire Fighter,"$128,751.00 ",128751,5.109750611
161,Asian,Male,1,BPS Special Education,ABA Specialist (BTU),"$9,971.70 ",9971.7,3.998769204
162,Asian,NA,1,Haynes EEC,Paraprofessional,"$36,266.09 ",36266.09,4.559500735
163,Asian,Male,1,Unified Student Svc,Supervisor Of Attendance,"$38,532.22 ",38532.22,4.585824031
164,Asian,Female,0,BPS Condon Elementary,Paraprofessional,"$39,437.82 ",39437.82,4.5959129
165,White,Female,0,BPS Sumner Elementary,Teacher,"$53,398.54 ",53398.54,4.727529383
166,White,Male,1,BPS Fenway High,Teacher,"$106,272.78 ",106272.78,5.026422041
167,White,Female,0,BPS Guild Elementary,Paraprofessional,"$38,171.81 ",38171.81,4.581742753
168,NA,Female,0,BPS New Mission Pilot,Guidance Counselor(1),"$109,981.41 ",109981.41,5.041319283
169,White,Female,0,BPS Guild Elementary,Teacher,"$116,672.82 ",116672.82,5.066969695
170,White,Female,0,Tobin K-8,Teacher,"$83,998.06 ",83998.06,4.924269256
171,NA,Female,0,BPS Mather Elementary,Nurse,"$122,258.24 ",122258.24,5.08727814
172,Hispanic,Male,1,Frederick Pilot Middle,Teacher,"$88,789.83 ",88789.83,4.948363224
173,White,Male,1,Brighton Police Department,Police Officer,"$34,415.16 ",34415.16,4.536749793
174,White,Female,0,School Support & Tranformation,Elementary Superintendent(F),"$163,425.73 ",163425.73,5.213320434
175,Asian,Male,1,BPS Mason Elementary,Surround Care Paraprofessional,"$39,828.88 ",39828.88,4.600198094
176,Asian,Female,0,BPS Counseling Service,School Psychologist(1),"$77,960.38 ",77960.38,4.891873947
177,White,Male,1,Public Works Department,Drawtender##,"$74,387.38 ",74387.38,4.871499263
178,White,Male,1,Brighton Fire Department,FF (FPD Special Hazards Insp),"$140,299.98 ",140299.98,5.147057609
179,NA,Male,1,BPS McKinley Middle,Paraprofessional,"$48,351.83 ",48351.83,4.684412916
180,Black,Male,1,Traffic Division,Parking Meter Opr Person I##,"$44,488.63 ",44488.63,4.648249032
181,Hispanic,Female,0,Brighton City Council,Admin Asst (Cc),"$43,307.61 ",43307.61,4.636564217
182,White,Male,1,Brighton Police Department,Police Sergeant,"$122,528.73 ",122528.73,5.088237932
183,White,Female,0,Brighton Fire Department,Head Clerk,"$53,510.95 ",53510.95,4.728442661
184,White,Male,1,Brighton Police Department,Police Officer,"$97,337.78 ",97337.78,4.988281437
185,White,Male,1,Brighton Police Department,Cadet (Police),"$30,588.05 ",30588.05,4.485551791
186,White,Female,0,Jackson/Mann K-8,Teacher,"$114,030.18 ",114030.18,5.05701981
187,White,Male,1,Brighton Police Department,Police Sergeant (Det),"$133,620.43 ",133620.43,5.125872865
188,White,Female,0,BPS Special Education,Occupational Therapist,"$130,015.34 ",130015.34,5.113994596
189,NA,Female,0,BPS Sumner Elementary,Teacher,"$55,694.36 ",55694.36,4.745811218
190,White,Female,0,UP Academy Dorchester,Cafeteria Manager16,"$52,734.53 ",52734.53,4.72209508
191,Hispanic,Male,1,Brighton Police Department,Cadet (Police),"$18,983.74 ",18983.74,4.278381777
192,Hispanic,Female,0,"Greenwood, S K-8",Teacher,"$78,921.14 ",78921.14,4.89719335
193,NA,Female,0,Jackson/Mann K-8,Paraprofessional,"$36,388.66 ",36388.66,4.560966063
194,Hispanic,Female,0,Umana Middle,Paraprofessional,"$41,001.24 ",41001.24,4.612796991
195,White,Female,0,BPS Perkins Elementary,Teacher,"$84,626.88 ",84626.88,4.92750833
196,White,Male,1,Brighton Police Department,Police Officer,"$5,267.08 ",5267.08,3.721569915
197,White,Female,0,Office of Admin & Finance,Chief of Staff,"$109,159.61 ",109159.61,5.038061975
198,Hispanic,Female,0,BPS Special Education,Sen Clerk School Sec 766-15B,"$24,507.96 ",24507.96,4.389307163
199,NA,Male,1,BPS Facility Management,Jr Cust/Nights,"$53,508.80 ",53508.8,4.728425212
200,Hispanic,Female,0,Perry K-8,Teacher,"$110,688.62 ",110688.62,5.044102973
201,Hispanic,Male,1,Traffic Division,Sr Traffic Engineer,"$101,757.86 ",101757.86,5.007567965
202,Black,NA,1,Public Works Department,Prin Civil Engineer,"$80,470.58 ",80470.58,4.905637132
203,Black,Male,1,BPS Substitute Teachers/Nurs,Substitute Teacher,"$17,251.08 ",17251.08,4.236816289
204,Black,Female,0,BPS Perkins Elementary,Teacher,"$125,173.60 ",125173.6,5.097512743
205,White,Male,1,Brighton Fire Department,Fire Fighter,"$117,622.54 ",117622.54,5.070490554
206,White,Female,0,Dudley St. Neighborhood School,Paraprofessional,"$16,647.90 ",16647.9,4.221359459
207,White,Female,0,BPS Manning Elementary,Teacher,"$76,840.13 ",76840.13,4.885588091
208,White,Male,1,BPS Latin Academy,Teacher,"$105,631.60 ",105631.6,5.023793858
209,White,Female,0,"Kennedy, JF Elementary",Teacher,"$88,225.36 ",88225.36,4.945593439
210,White,Male,1,Lyon Pilot High 9-12,Teacher,"$97,900.27 ",97900.27,4.99078389
211,White,Female,0,BPS Sumner Elementary,Teacher,NA,NA,NA
212,White,Male,1,Brighton Fire Department,Fire Lieutenant,"$140,993.44 ",140993.44,5.149198907
213,White,Male,1,BPS Transportation,Standby Cab Monitor HE,"$20,837.78 ",20837.78,4.318851449
214,NA,Female,0,Mission Hill K-8,Teacher,"$100,070.86 ",100070.86,5.000307632
215,White,Male,1,BPS Substitute Teachers/Nurs,Substitute Teacher HE,"$47,018.24 ",47018.24,4.672266368
216,Black,Female,0,Office of Arts & Culture,Employment Agreement,$425.00 ,425,2.62838893
217,Black,NA,1,BPS Counseling Service,School Psychologist(1),NA,NA,NA
218,Black,Male,1,Brighton Police Department,Police Officer,"$90,449.07 ",90449.07,4.956404106
219,Black,Female,0,BPS Quincy Elementary,Teacher,"$66,413.26 ",66413.26,4.822254799
221,Black,Female,0,BPS Condon Elementary,Teacher,"$113,060.04 ",113060.04,5.053309135
222,Black,NA,1,BPS Substitute Teachers/Nurs,Substitute Teacher,"$6,504.17 ",6504.17,3.813191884
223,Black,Male,1,Public Works Department,Prin Civil Engineer,"$101,294.87 ",101294.87,5.005587451
224,Black,Female,0,HPEC: Com Acd Science & Health,Paraprofessional,"$37,661.62 ",37661.62,4.575898997
225,Black,Male,1,BPS Special Education,Speech & Language Pathologist,"$108,904.28 ",108904.28,5.037044948
226,Black,Male,1,BPS Transportation,Standby Cab Monitor HE,"$20,775.67 ",20775.67,4.317555038
227,Black,Male,1,Assessing Department,Exec Asst (Asn),"$122,521.14 ",122521.14,5.088211029
228,White,Male,1,BPS Brighton Arts Academy,Teacher,"$106,568.56 ",106568.56,5.027629097
229,White,Male,1,Brighton Police Department,Sr Data Proc Sys Anl (ASD/DPU),"$125,678.63 ",125678.63,5.099261438
230,Hispanic,Female,0,Office of Arts & Culture,Employment Agreement,"$2,875.00 ",2875,3.458637849
231,Hispanic,Male,1,Edison K-8,Social Worker/Coordinator,"$85,401.18 ",85401.18,4.931463871
232,Hispanic,Female,0,BPS Hale Elementary,Teacher,"$105,170.09 ",105170.09,5.021892246
233,Hispanic,Female,0,School Support & Tranformation,Staff Assistant B,"$77,763.71 ",77763.71,4.890776972
234,NA,NA,1,Brighton Police Department,Police Clerk And Typist,"$52,650.70 ",52650.7,4.72140415
235,Hispanic,Male,1,Brighton Police Department,Police Offc Acad Instr 2$6,"$106,439.02 ",106439.02,5.027100867
236,White,Male,1,BPS Facility Management,Part-Time Custodian,"$10,259.22 ",10259.22,4.011114343
237,White,NA,1,Curley K-8,Part-Time Cafeteria Attendant,"$9,791.68 ",9791.68,3.990857212
238,White,Female,0,Alighieri Montessori School,Paraprofessional,"$37,099.27 ",37099.27,4.569365364
239,NA,Female,0,BPS Hennigan Elementary,Teacher,"$81,833.06 ",81833.06,4.912928791
240,NA,Female,0,BPS Special Education,Speech & Language Pathologist,"$2,374.37 ",2374.37,3.375548396
241,Asian,Male,1,BPS Human Resource Team,Manager NonAcad C,"$105,059.09 ",105059.09,5.021433635
242,Asian,Male,1,Brighton Cntr - Youth & Families,Youth Worker,"$53,861.09 ",53861.09,4.731275138
243,Hispanic,Female,0,West Zone ELC,Surround Care Paraprofessional,"$39,566.06 ",39566.06,4.597322805
244,Hispanic,Female,0,Hernandez K-8,Before/After School Support,NA,NA,NA
245,Hispanic,Male,1,Brighton Fire Department,Fire Fighter,"$114,069.40 ",114069.4,5.057169157
246,Hispanic,Female,0,BPS Clap Elementary,Lunch Hour Monitors,"$9,292.42 ",9292.42,3.968128831
247,Hispanic,Male,1,Brighton Fire Department,Fire Fighter,"$127,599.36 ",127599.36,5.105848496
248,NA,Male,1,Parks Department,Park Maint Foreprs##,"$50,173.74 ",50173.74,4.700476475
249,Asian,Male,1,BPS Hennigan Elementary,Paraprofessional,"$31,779.23 ",31779.23,4.50214337
250,Asian,NA,1,Neighborhood Services,Staff Asst I,"$32,787.87 ",32787.87,4.515713204
251,Asian,Female,0,Lyon K-8,Paraprofessional,"$28,000.24 ",28000.24,4.447161754
252,NA,Female,0,King K-8,Manager (D) (non-ac),"$103,898.88 ",103898.88,5.016610866
253,White,Male,1,Brighton Fire Department,Public Information Officer,"$136,356.56 ",136356.56,5.134676036
254,White,Male,1,Neighborhood Development,Program Mngr,"$84,808.20 ",84808.2,4.928437846
255,White,Female,0,BPS Hennigan Elementary,Teacher,"$13,614.00 ",13614,4.133985746
256,White,Male,1,Info & Instr Technology,Coord-Manager C,"$87,113.80 ",87113.8,4.940086959
257,NA,Female,0,BPS Substitute Teachers/Nurs,Substitute Teacher HE,"$36,019.27 ",36019.27,4.556534907
258,White,Female,0,Mission Hill K-8,Teacher,"$103,127.37 ",103127.37,5.013373942
259,White,Female,0,Roosevelt K-8,Paraprofessional,"$45,955.03 ",45955.03,4.662333054
260,White,Male,1,Brighton Fire Department,FF(SOCBestTeam)-AdvTechnician,"$140,314.75 ",140314.75,5.147103327
261,White,Female,0,Gardner Pilot  Academy,Teacher,"$24,354.98 ",24354.98,4.386587777
262,White,Male,1,BPS Facility Management,Jr Cust/Nights,"$29,372.26 ",29372.26,4.467937364
263,White,Female,0,Edison K-8,Paraprofessional,"$40,069.64 ",40069.64,4.602815441
264,NA,Female,0,BPS Madison Park High,Teacher,"$81,860.14 ",81860.14,4.913072483
265,White,NA,1,BPS Facility Management,Jr Cust/Nights,"$49,572.24 ",49572.24,4.695238544
266,White,Male,1,BPS Transportation,Standby Cab Monitor HE,"$19,727.40 ",19727.4,4.295069851
267,White,Male,1,BPS Orchard Gardens K-8 Pilot,Teacher,"$49,742.46 ",49742.46,4.696727259
268,White,Male,1,BPS Alternative Education,Manager (D) (non-ac),"$110,241.74 ",110241.74,5.042346059
269,White,Male,1,Brighton Police Department,Police Offc Acad Instr 2$6,"$50,959.49 ",50959.49,4.707225073
270,White,Male,1,BPS School Safety Service,Sergeant-Bps Police,"$65,541.24 ",65541.24,4.816514654
271,White,Male,1,BPS Madison Park High,Teacher,"$111,840.78 ",111840.78,5.048600187
272,White,Female,0,BPS Transportation,Standby Cab Monitor HE,"$20,724.45 ",20724.45,4.316483014
273,White,Male,1,BPS McKinley Middle,Asst Program Director (7),"$95,578.69 ",95578.69,4.980361074
274,White,Female,0,Brighton Police Department,Police Officer,"$84,755.37 ",84755.37,4.928167224
275,White,Female,0,Hernandez K-8,Teacher,"$111,488.83 ",111488.83,5.047231358
276,White,Male,1,BPS McKinley Middle,Asst Program Director (7),"$81,104.12 ",81104.12,4.909042916
277,White,Female,0,BPS Special Education,Sen Clerk School Sec 766-15B,"$35,510.50 ",35510.5,4.550356787
278,White,Female,0,Dudley St. Neighborhood School,Teacher,"$88,759.54 ",88759.54,4.948215043
279,White,Female,0,BPS Snowden International Hi,Teacher,"$103,689.88 ",103689.88,5.015736372
280,White,NA,1,Parks Department,Exc Asst,"$119,142.35 ",119142.35,5.076066162
